lon,lat,x_utm_km,y_utm_km,n_events,n_online,proportion,hlogit
-51.875,-29.224999999999998,414.95853612145817,6766.76883394306,7890,7292.0,0.9242078580481622,2.5001751767438485
-50.725,-29.074999999999996,526.765677977825,6783.673765806118,370,277.0,0.7486486486486487,1.0878594968918478
-50.125,-29.424999999999997,584.8757003195396,6744.608117498696,376,289.0,0.7686170212765957,1.1965165036494811
-55.025000000000006,-28.025,104.16014517728047,6893.4885028872195,732,676.0,0.9234972677595629,2.4826918094584474
-53.525000000000006,-30.324999999999996,257.22823784013667,6642.499075728109,28895,19495.0,0.6746842014189306,0.7294207903569131
-53.425000000000004,-32.074999999999996,271.1024131863653,6448.677846863797,54,39.0,0.7222222222222222,0.9354606479818752
-51.675000000000004,-27.674999999999997,433.43336228994525,6938.616572140942,133,84.0,0.631578947368421,0.5347788647884835
-50.125,-27.275,586.6030822495563,6982.802324732855,55,40.0,0.7272727272727273,0.9604619501872925
-55.675000000000004,-29.275,45.600955717916946,6752.468082642058,187,0.0,0.0,-5.926926025970411
-56.125,-30.324999999999996,6.999870845821802,6634.049787922995,31,26.0,0.8387096774193549,1.5723966407537513
-49.575,-27.174999999999997,641.1706731907105,6993.379783650441,391,353.0,0.9028132992327366,2.217225244042889
-53.075,-30.974999999999998,301.8357408289494,6571.32140729595,13130,8992.0,0.6848438690022849,0.7760574932443285
-52.625,-31.275,345.30498935403364,6538.781468130119,99,62.0,0.6262626262626263,0.5108256237659907
-53.275000000000006,-32.224999999999994,285.6160205862654,6432.353984245122,709,401.0,0.5655853314527504,0.2634856900413739
-54.975,-27.974999999999998,108.90093604699523,6899.196476810564,766,335.0,0.43733681462140994,-0.2516455541117461
-51.175000000000004,-27.924999999999997,482.7816448358037,6911.093403823231,147,52.0,0.35374149659863946,-0.5983130778891066
-51.875,-28.424999999999997,414.3058597081619,6855.405252687009,76,14.0,0.18421052631578946,-1.4610179073158271
-51.125,-31.374999999999996,488.11369120773907,6528.830686286684,46,37.0,0.8043478260869565,1.3730491343698699
